id,name,scope,publisherAuth,viewerAccess,interface,artifactModel,ttl,claim,evidence,maturity,priority,china,status,risks,source
flypod,flypod,multi-file directory,none,public URL,"CLI, JS library, HTTP API, browser drop",versioned static site,14 days anonymous,account/API key optional for permanence,B: official docs,small-current,P0 probe,unverified,strict-anonymous-candidate,"Need test update/rollback tokens, cache behavior, MIME handling and deletion.",https://docs.flypod.dev/docs
dropcat,DropCat,archive static site,none for first deploy; generated secret returned,public URL,HTTP API / curl,ZIP or TAR.GZ,7 days anonymous,one-time API key; optional email upgrade,B: official API reference,small-current,P0 probe,unverified,strict-anonymous-generated-secret,"Secret is shown once and cannot be recovered anonymously. Limit: 3 sites, 50 MB, 1,000 files, 5 deploys/hour/IP.",https://drop.cat/help/
sitebin,Sitebin,multi-file static server or file viewer,none for no-account tier,public or optional password,browser + HTTP API,files/folder/ZIP; SPA fallback,24 hours anonymous,edit URL + edit password/ticket,B: official hosted site + open-source code,small-current-open-source,P0/P1 probe,unverified,strict-anonymous-candidate,Homepage wording around scripting is inconsistent; verify hosted API accepts unauthenticated POST in practice.,https://sitebin.io/
mindspage,MindsPage,single HTML and multi-file ZIP static site,none,public URL,HTTP API + browser,"page, file, or ZIP site with SPA fallback",page 3h default/up to 24h; claim can extend; site lifetime must be read from response,claim token / sessionKey,B: official API page,small-current,P1 probe,unverified,strict-anonymous-candidate,"Runtime helper is injected into served pages; exact-byte mode may fail. Site ZIP limits: 25 MB, 50 MB unpacked, 500 files, 10 MB/file.",https://mindspage.com/
brewpage,BrewPage,single HTML/Markdown/files and multi-file ZIP site,none; generated owner token returned,public or password-protected,"REST API, OpenAPI, MCP",HTML/Markdown/file/KV/JSON/site,"15 days default, 30 days max",owner token for update/delete,B: official API reference,small-current,P1 probe,unverified,strict-anonymous-generated-secret,The public namespace is gallery-listed and indexable; use a non-public namespace for unlisted delivery.,https://brewpage.app/api
shiply-now,shiply.now,multi-file static/dynamic publishing,none for first publish,public URL,"REST three-step upload, CLI, remote MCP",manifest + presigned uploads + finalize,24 hours anonymous,one-time claim token / device auth,B: official docs,small-current,P1 probe,unverified,strict-anonymous-candidate,Broad platform surface is much larger than a static adapter; implement only the minimal static protocol first.,https://shiply.now/docs
harvis,harvis,multi-file directory static hosting,none,public URL,"CLI, HTTP API, remote MCP",folder as-is; repeat run updates same site,unclaimed lifetime not clearly stated on landing pages; response/terms must decide,private single-use claim link,B: official docs,small-current,P1 probe,unverified,strict-anonymous-candidate,500 files / 50 MB. Claim-token storage and update mapping need inspection.,https://harvis.dev/downloads/command-line
roxer,Roxer Quick Sharing,"single files, directories and ZIPs",none,public URL,"browser, CLI, MCP, API",static page/site; broader app hosting also advertised,30 days for no-signup pages,local update/delete tokens or upgrade path,B: official site,small-current,P1 probe,unverified,strict-anonymous-candidate,Marketing mixes quick sharing with invite-only hosting and dynamic apps; adapter should target only the no-signup static path.,https://www.roxer.com/
openpouch,openpouch,static directory or Node app,none,public URL,CLI / JSON output / MCP,static files or containerized Node app,72h anonymous; private claim link extends to 7d,claim URL; account optional,B: official docs and open source,small-current,P1 dynamic-plugin probe,unverified,strict-anonymous-candidate,Dynamic execution significantly expands attack surface and resource policy; keep outside the core static provider interface.,https://openpouch.dev/deploy-without-signup
display-dev,Display.dev claimable publishing,HTML/Markdown and directories,none,public noindex preview URL,"curl, CLI, public/local MCP",artifact/page or directory,30 days live; claim remains usable another 30 days,single-use claim URL,B: official docs,small-current,P1 probe,unverified,strict-anonymous-candidate,"Designed for artifacts/reports as well as sites; test relative assets, content transformation and directory semantics.",https://display.dev/docs/claimable
meethtml,meethtml,single HTML/Markdown page,none,public subdomain,"REST API, local/hosted MCP",one HTML document per page,24 hours anonymous,edit_token for update/delete,B: official API docs,small-current,P1 single-page adapter,unverified,strict-anonymous-single-page,Not a directory host. External assets remain external; inline/base64 is safest.,https://meethtml.com/docs
shippage,ShipPage / shippage.ai,single HTML or Markdown page,none on first call; generated API key returned,public URL,"REST API, MCP, skill",one page,14 days free,claim URL/code and generated agent API key,B: official site,small-current,P1 single-page adapter,unverified,strict-anonymous-generated-secret,500 KB/page and 20 publishes/month; auto-registration creates local secret state that must be handled explicitly.,https://shippage.ai/
ht-ml-app,ht-ml.app,single HTML plus referenced assets,none for create; generated update key returned,public by default or password-protected,REST API and WebMCP,one HTML document with separately uploaded referenced assets,not clearly disclosed on public help; response/terms must decide,update_key,B: official API help,small-current,P1 single-page adapter,unverified,strict-anonymous-generated-secret,Public pages may be indexed; content scanning can reject HTML; retention needs live confirmation.,https://api.ht-ml.app/v1/help
pastehtml,pastehtml.dev,single HTML page,none,public isolated subdomain,browser + API,one HTML document,retention described as persistent/unclear; verify,update token; deletion reportedly unavailable,"C: official marketing/API page, needs probe",small-current,P2 probe,unverified,strict-anonymous-single-page-unverified,No deletion path is a serious privacy and governance drawback.,https://pastehtml.dev/
shareyourhtml,ShareYourHTML,single HTML page,none,public URL,browser + JSON API,single HTML with platform injection,reported 7/30/90 days or never; verify current API,edit key,"C: official site, needs live probe",small-current,P2 probe,unverified,strict-anonymous-single-page-unverified,Injected script means byte-exact verification should be disabled.,https://shareyourhtml.com/
dropweb,DropWeb,multi-file archive/site,none on first deploy; generated key/account state,public URL,CLI / HTTP,static site,about 3 days in project claims,generated secret,C: open-source project/marketing,tiny-experimental,P2 probe,unverified,strict-anonymous-experimental,Low maturity and small public footprint; do not enable by default before end-to-end validation.,https://github.com/
statichub,StaticHub,file or directory static site,none for anonymous mode,public URL,CLI,static file/directory,unclear,unclear,C: open-source README,tiny-experimental,P2 research,unverified,strict-anonymous-experimental,Example URLs and lifecycle documentation are incomplete.,https://github.com/
pinme,PinMe,directory to IPFS/IPNS-style hosting,none for basic CLI path,public content-addressed gateway,CLI,decentralized static directory,content persistence is not equivalent to guaranteed retention,content/address keys; optional paid/custom domain path,C: official project page,adjacent-decentralized,P2 plugin research,gateway-dependent,strict-anonymous-adjacent,Deletion cannot be guaranteed and public gateways may be blocked or inconsistent; privacy model differs from temporary hosting.,https://pinme.eth.limo/
previewship-browser,PreviewShip no-signup browser publishing,browser upload preview,none in browser trial,public preview,browser only for strict anonymous path,uploaded preview,current facts page says 3-day retention,account path optional,B/C: official facts/quickstart,browser-only,research/browser only,unverified,strict-anonymous-browser-only,"CLI requires authentication and MCP requires API key, so it is not an adapter candidate without browser automation.",https://previewship.com/facts
pagedrop-io,PageDrop.io,single HTML page,none,public URL,browser,single HTML,reported 1h/1d/7d/30d or one-time view,none,C: official browser product,browser-only,research/browser only,unverified,strict-anonymous-browser-only,No stable machine API confirmed; public gallery/privacy behavior requires review.,https://pagedrop.io/
pagedrop-fluxath,PageDrop (fluxath),multi-file browser upload,none,public URL,browser,multi-file static page,"reported 30 days, with conflicting inactivity wording",unknown,"D: small official page, conflicting details",browser-only-experimental,research only,unverified,strict-anonymous-browser-only-unverified,Name collision with unrelated PageDrop products; endpoint and retention must be identified exactly.,https://pagedrop.fluxath.app/
sharinghtml,SharingHTML,small multi-file browser upload,none,public URL,browser,HTML plus a few assets,reported 7 days,unknown,"D: small site, no stable API confirmed",browser-only-experimental,research only,unverified,strict-anonymous-browser-only-unverified,Reported quotas and API status need current verification.,https://sharinghtml.com/
dochost,dochost no-account mode,document/HTML browser upload,none in browser path,public or private link,browser; API/MCP uses credentials,document/page viewer,reported 3 days private / 7 days public,unknown,C: official site,browser-only,research/browser only,unverified,strict-anonymous-browser-only,Not a general directory host; programmatic path is not strict anonymous.,https://dochost.io/
sharemyhtml,ShareMyHTML,single HTML browser upload,none,public URL,browser,single HTML,site claims persistent/no expiry; verify,unknown,C: official site,browser-only,research/browser only,unverified,strict-anonymous-browser-only-unverified,"No documented API, deletion or retention contract found.",https://sharemyhtml.com/
htmlsave,HTMLSave,single HTML browser upload,none/unclear for basic path,public URL,browser,single HTML,unclear,unknown,D: marketing only,browser-only,research only,unverified,unverified,No reliable machine contract and unclear lifecycle.,https://htmlsave.com/
htmlpub,HTMLPub,single HTML browser upload,browser may be no-signup; API is paid/authenticated,public URL,browser only under strict definition,single HTML,unclear,unknown,B/C: official docs,browser-only,exclude from adapter,unverified,browser-only-not-api-anonymous,The API requires Pro; do not infer API anonymity from the free browser uploader.,https://htmlpub.com/docs/api
oneclicklive,OneClickLive,single/multi-page browser publish,claims conflict,public URL,browser,HTML preview,reported 7 days in no-account path,unknown,D: official pages conflict,unverified,research only,unverified,contradictory,Some pages say first deploy needs no account while others say shareable URLs require one.,https://oneclicklive.com/
vercel-claim-wrapper,Unofficial Vercel claimable deployment wrapper,static preview,none to wrapper,public preview URL,third-party skill/endpoint,wrapper-mediated Vercel deployment,unknown,claim URL,"D: third-party skill, not an official Vercel public contract",experimental-wrapper,do not default-enable,unverified,experimental-not-official,"Endpoint stability, data recipient and authorization model are not official Vercel guarantees.",https://github.com/vercel-labs/agent-skills
onefreehosting,1freehosting / npx hosting,static folder,claimed none,public URL,CLI,temporary static site,reported 24h idle plus claim path,reported,D: author article/legacy claim,tiny-unverified,research only,unverified,unverified,May be an older alias or abandoned service; require endpoint and package provenance checks.,https://dev.to/
agentdrop,AgentDrop,self-hostable anonymous deployment implementation,depends on operator,depends on operator,open-source code,self-hosted,operator-defined,operator-defined,C: open-source project,self-host-template,"architecture reference, not public provider",self-host dependent,not-public-provider,Do not list as a public service unless a maintained hosted endpoint is verified.,https://github.com/
itty-bitty,itty.bitty.site,URL-encoded tiny page,none,content embedded in URL,browser/URL generator,"data-in-URL, not hosting",URL itself persists,none,B/C: known official project,adjacent,optional tiny-page utility,URL/domain dependent,not-conventional-hosting,"URL length, privacy and browser limits; not suitable for normal build directories.",https://itty.bitty.site/
livecodes,LiveCodes,code playground,none for shareable encoded projects,public playground URL,web app / SDK,playground wrapper,URL/storage dependent,none,B: official project,adjacent,exclude from static provider registry,dependency-heavy,playground-not-hosting,Runtime wrapper and external dependencies change semantics.,https://livecodes.io/
jsfiddle,JSFiddle anonymous fiddle,code playground,none for basic fiddle creation,public fiddle URL,browser/API legacy,playground wrapper,not a deployment SLA,none,B/C,adjacent,exclude,unverified,playground-not-hosting,Not byte-preserving static hosting and not intended for arbitrary build output.,https://jsfiddle.net/
tiiny,Tiiny Host anonymous-looking API,HTML/ZIP hosting,email-gated first-use workflow,public URL,browser/API,static site,trial-specific,email flow,B: official developer docs,established-small,exclude from strict anonymous,unverified,not-strict-anonymous,A new email/first-use flow is a credential requirement.,https://tiiny.host/for/developers/
surge,Surge,directory static hosting,email/account created on first run,public URL,CLI,static directory,persistent under account,account ownership,B: official docs,established,exclude from strict anonymous; keep in account-based catalog,unverified,not-strict-anonymous,Free does not mean no-login.,https://surge.sh/help/getting-started-with-surge
neocities,Neocities,static files,account/API key required,public URL,web/API/CLI,static site,account-based,account,B: official API docs,established,exclude from strict anonymous,unverified,not-strict-anonymous,API credentials are mandatory.,https://neocities.org/api
static-run,Static.run,static site,account flow for publishing/management,public URL,browser,static files,plan-based,account,B/C: official pricing/product,established-small,exclude from strict anonymous,unverified,not-strict-anonymous,Small single-file limit and account requirement make it unsuitable for this strict lane.,https://static.run/
host-html,host-html,HTML hosting,account/API key required for API,public URL,browser/API,single HTML,plan-based,account,C: official product,small,exclude,unverified,not-strict-anonymous,Marketing may say instant/free while the machine path still needs credentials.,https://host-html.com/
htmlput,HTMLPUT,HTML hosting,conflicting claims,public URL,browser/API unclear,single HTML,unclear,unclear,D: contradictory,unverified,exclude pending live proof,unverified,contradictory,Do not ship an adapter based on self-contradictory marketing.,https://htmlput.com/
upma,Upma,static page/site,token/free account,public URL,API/CLI,static content,account-based,account,C: official project,small,exclude from strict anonymous,potentially relevant but credentials required,not-strict-anonymous,A free token is still a login credential.,https://upma.app/
sharable-link,Sharable.link,hosted content,current product requires account,public/share link,web/API,share page,account-based,account,C: current product,small,exclude; old anonymous endpoints are legacy only,unverified,not-strict-anonymous,Historical anonymous behavior must not be confused with the current contract.,https://sharable.link/
cloudflare-pages-normal,Cloudflare Pages normal workflow,static site,account/token required,public URL,dashboard/Git/Wrangler,Pages project,persistent account resource,account,B: official docs,major,exclude from strict lane; temporary Workers path is separate,unverified,not-strict-anonymous,Do not conflate Pages free plan with Workers temporary accounts.,https://developers.cloudflare.com/pages/
netlify-normal,Netlify normal persistent deploy,static/app deployment,account/token required,public URL,dashboard/Git/CLI,persistent project,account resource,account,B,major,exclude from strict lane; --allow-anonymous is separate,unverified,not-strict-anonymous,The anonymous one-hour project is a distinct flow.,https://docs.netlify.com/
github-pages,GitHub Pages,static site from repository,GitHub account required,public URL,Git,repository-backed site,account/repository based,account,B,major,exclude from strict anonymous,unverified,not-strict-anonymous,Public access does not imply anonymous publishing.,https://docs.github.com/pages
previewship-cli,PreviewShip CLI / MCP,site preview,CLI login or API key,public preview,CLI/MCP,preview site,plan-based,account,B: official docs,small-current,exclude from strict adapter lane,unverified,not-strict-anonymous,Only the browser no-signup path qualifies; CLI and MCP do not.,https://previewship.com/
easysend,EasySend/raw file sharing,file transfer,may be anonymous,download link,browser/API,"raw file download, not web root",varies,none,C/D,adjacent,exclude from web deployment providers,unverified,file-share-not-hosting,A downloadable archive is not a browser-rendered static site.,https://easysend.io/
tunnels,"Quick tunnels (Cloudflare, ngrok, cpolar, NATAPP, Sakura Frp)",live local service exposure,varies; some no-account,public tunnel URL while process/network lives,CLI,"network tunnel, not uploaded deployment",process/session lifetime,none,B/C,adjacent,"keep as a separate mode, never call deployment",provider/network dependent,tunnel-not-deployment,"Machine shutdown, process exit or network loss ends availability.",https://developers.cloudflare.com/cloudflare-one/connections/connect-networks/do-more-with-tunnels/trycloudflare/
